Feature,FisherScore
V174,0.0016000597376314015
V131,0.001559212112787016
id_07,0.0013965185239518628
V314,0.0013791152968366137
V138,0.001377599228032005
V172,0.001366941810089136
V337,0.0013155790095431912
V207,0.0013011886557235724
TransactionAmt,0.001295062197917683
V336,0.0012740218376097
V135,0.0012459949282465485
V325,0.001191986008498557
id_23,0.0011506564348753106
DeviceInfo,0.001035475948700779
V277,0.0010005651367924148
V319,0.0008932520590023105
V278,0.0008816488894474874
V205,0.0008696040714048228
V264,0.0008623192297620167
V182,0.0008319655275186111
V276,0.0008268913548821709
V288,0.0007267379881008912
id_08,0.0006903969192327665
id_21,0.0006722510972473442
V180,0.000641255051395459
V208,0.0006376261584588435
V267,0.0005143220882560292
V225,0.0004553018667991592
V269,0.00033952524396688985
V206,0.00033126441246004724
id_11,0.0003128194408967112
V266,0.0002694045483288006
V311,0.00026056014576967065
V309,0.0002605283014318747
V268,0.0002442590069658632
id_25,0.0002422046068563187
V214,0.00024061139614594507
V129,0.00021000127025669335
id_05,0.00019993771576694324
V334,0.0001762126023329533
V315,0.00017005439255502535
V215,0.00014632645932394675
id_30,0.00012497730062055234
V301,5.6187092471385545e-05
V313,5.389239354537146e-05
V240,4.791574103243225e-05
V226,3.9254988126373335e-05
id_24,2.485838864549407e-05
V241,1.9535145893484175e-05
id_10,1.942501546911219e-05
V175,1.6555303469265718e-05
V300,1.6484401686867992e-05
V224,1.1989836076899838e-05
V223,5.9011966465123036e-06
V289,5.007894893735417e-06
V281,3.737152068651735e-06
V216,1.3366094765416442e-06
V183,7.359311057242991e-07
V210,3.168462233476174e-07
id_12,0.0
id_16,0.0
id_27,0.0
id_29,0.0
dist1,
D8,0.05282631238937813
D2,0.03213133480060765
D9,0.016317806666063413
D1,0.015465770024506751
D10,0.01481365224998381
card5,0.013079083909661404
card6,0.010147159545054846
C2,0.007492462165556913
D5,0.006632041514578978
D7,0.005974018008476159
C1,0.005558537282432297
C3,0.00511356097801399
C12,0.004123340085812113
C11,0.004047403547119943
C8,0.0035716060128433585
C4,0.0025634342156790955
C14,0.0010133438065895197
D11,
M4,0.007400667194348525
D13,0.005159006784787168
D14,0.004981436195673615
C7,0.0028251952238906555
D12,0.002785238449382497
D15,0.002703136250873208
C6,0.002561131751534544
C10,0.0022473092729193905
D3,0.0015956072945144553
addr2,0.0009048802995763237
C13,0.0008119652685139489
D6,0.0006473555097987196
P_emaildomain,0.00037611264890825927
R_emaildomain,0.00014766705035042666
dist2,7.1232293453533e-05
addr1,6.596424907915787e-05
D4,6.519495907506786e-07
C5,0.0
C9,0.0
M1,0.0
M2,0.0
M3,0.0
M5,0.0
M6,0.0
M7,0.0
M8,0.0
M9,0.0
V1,
V2,
V3,
V4,
V5,
V6,
V7,
V8,
V9,
V10,
V11,
V87,0.1478922608523755
V86,0.137824878947059
V45,0.12186930259784866
V44,0.09740046256913258
V52,0.0845149715994863
V47,0.07533743965939572
V23,0.07516772103598338
V24,0.07435579888278215
V51,0.07392798590120754
V46,0.06408422168998591
V38,0.06389913132068883
V77,0.061518381926700755
V79,0.05578398429975086
V78,0.05321729864637167
V37,0.051043630080466106
V40,0.046482579598515664
V74,0.044376343618026504
V114,0.04422231638807263
V116,0.04401632564816529
V115,0.04385900543894395
V83,0.037407273668063595
V58,0.03685123350778136
V109,0.03648930102788829
V110,0.03627773080659061
V108,0.0362057309248124
V113,0.03570644149970976
V111,0.03567662450355075
V112,0.03564295872406719
V43,0.0318371435708855
V39,0.030965745265458373
V93,0.030689733482009967
V82,0.030318025481971322
V94,0.028971299305309183
V73,0.028610740034533483
V57,0.025733957525691985
V81,0.024680820332685764
V62,0.02414277466324472
V92,0.023459574587177616
V67,0.022620969240524497
V33,0.020078333662753165
V15,0.01963894114509393
V34,0.018736319776237922
V16,0.018401669461800385
V18,0.016646904908903897
V80,0.015651566538053593
V17,0.014886445700126672
V72,0.01469528369869464
V61,0.013050602284452312
V85,0.012535889506269628
V117,0.01218363893750408
V119,0.012181063514985368
V118,0.012060641161930624
V42,0.01123815894060164
V105,0.008293447262060806
V66,0.008274962478887527
V60,0.008262279969340381
V106,0.008057259860334233
V97,0.006490301179854256
V96,0.006427927442081239
V103,0.006253986861075198
V102,0.006044021946935291
V99,0.0059556879293028156
V64,0.005535493249747367
V104,0.005436417209011284
V71,0.005232074515588876
V95,0.004877896371671378
V20,0.004796362015218486
V19,0.004780981397866228
V101,0.004743681621100492
V100,0.004173711194021351
V59,0.0035888667504296815
V84,0.00256129482590917
V89,0.0025565445545071147
V56,0.0024954337599395336
V27,0.002427617096215825
V28,0.0023452706854251854
V68,0.0016692916618039062
V41,0.001454789923205027
V98,0.0013954783690315932
V63,0.0013363300753456966
V32,0.000923149975744728
V65,0.0009005941906431832
V14,0.0008946962036441207
V55,0.0007838518070552576
V50,0.0007634130818277162
V88,0.0006517338062444311
V26,0.0005956694001562381
V31,0.0003605845268031863
V25,0.00025847168186421394
V21,0.00012835341798183417
V22,0.00012556323637305956
V12,0.0
V13,0.0
V29,0.0
V30,0.0
V35,0.0
V36,0.0
V48,0.0
V49,0.0
V53,0.0
V54,0.0
V69,0.0
V70,0.0
V75,0.0
V76,0.0
V90,0.0
V91,0.0
V107,0.0
V305,0.0
